id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
38320,2023-08-10 08:26:13.612292,4.8,3.4,1.6,0.2,0
38319,2023-08-10 08:26:12.607858,6.9,3.1,5.1,2.3,2
38318,2023-08-10 08:26:11.603237,5.5,3.5,1.3,0.2,0
38317,2023-08-10 08:26:10.597613,4.6,3.1,1.5,0.2,0
38316,2023-08-10 08:26:09.584991,5.5,4.2,1.4,0.2,0
38315,2023-08-10 08:26:08.579427,5.1,2.5,3.0,1.1,1
38314,2023-08-10 08:26:07.569013,6.6,2.9,4.6,1.3,1
38313,2023-08-10 08:26:06.564761,6.2,2.2,4.5,1.5,1
38312,2023-08-10 08:26:05.557102,7.3,2.9,6.3,1.8,2
38311,2023-08-10 08:26:04.549865,5.7,3.8,1.7,0.3,0
38310,2023-08-10 08:26:03.544711,7.4,2.8,6.1,1.9,2
38309,2023-08-10 08:26:02.536131,4.6,3.4,1.4,0.3,0
38308,2023-08-10 08:26:01.529354,7.2,3.2,6.0,1.8,2
38307,2023-08-10 08:26:00.515904,4.6,3.1,1.5,0.2,0
38306,2023-08-10 08:25:59.509543,5.0,3.5,1.6,0.6,0
38305,2023-08-10 08:25:58.503114,5.8,2.7,5.1,1.9,2
38304,2023-08-10 08:25:57.496705,6.2,2.9,4.3,1.3,1
38303,2023-08-10 08:25:56.491080,4.8,3.4,1.9,0.2,0
38302,2023-08-10 08:25:55.484498,6.0,2.7,5.1,1.6,1
38301,2023-08-10 08:25:54.475128,6.4,2.9,4.3,1.3,1
38300,2023-08-10 08:25:53.468604,5.8,2.7,4.1,1.0,1
38299,2023-08-10 08:25:52.461569,6.5,3.0,5.8,2.2,2
38298,2023-08-10 08:25:51.453667,5.7,2.9,4.2,1.3,1
38297,2023-08-10 08:25:50.445648,5.8,4.0,1.2,0.2,0
38296,2023-08-10 08:25:49.439063,5.8,2.7,4.1,1.0,1
38295,2023-08-10 08:25:48.430480,5.8,2.7,3.9,1.2,1
38294,2023-08-10 08:25:47.420180,6.0,3.4,4.5,1.6,1
38293,2023-08-10 08:25:46.412816,6.7,3.1,4.4,1.4,1
38292,2023-08-10 08:25:45.405425,7.7,2.6,6.9,2.3,2
38291,2023-08-10 08:25:44.396118,4.4,3.0,1.3,0.2,0
38290,2023-08-10 08:25:43.388160,5.8,2.7,4.1,1.0,1
38289,2023-08-10 08:25:42.380022,4.9,2.5,4.5,1.7,2
38288,2023-08-10 08:25:41.369677,5.4,3.7,1.5,0.2,0
38287,2023-08-10 08:25:40.362910,6.7,3.1,5.6,2.4,2
38286,2023-08-10 08:25:39.355512,6.9,3.2,5.7,2.3,2
38285,2023-08-10 08:25:38.345704,4.8,3.0,1.4,0.3,0
38284,2023-08-10 08:25:37.337468,6.0,2.9,4.5,1.5,1
38283,2023-08-10 08:25:36.329542,4.6,3.2,1.4,0.2,0
38282,2023-08-10 08:25:35.321922,6.7,3.0,5.0,1.7,1
38281,2023-08-10 08:25:34.316316,5.0,3.0,1.6,0.2,0
38280,2023-08-10 08:25:33.312023,6.3,3.3,4.7,1.6,1
38279,2023-08-10 08:25:32.306873,5.7,2.8,4.1,1.3,1
38278,2023-08-10 08:25:31.299725,4.8,3.1,1.6,0.2,0
38277,2023-08-10 08:25:30.291797,4.7,3.2,1.3,0.2,0
38276,2023-08-10 08:25:29.283861,5.4,3.4,1.5,0.4,0
38275,2023-08-10 08:25:28.276130,6.7,3.0,5.2,2.3,2
38274,2023-08-10 08:25:27.268467,6.9,3.1,5.1,2.3,2
38273,2023-08-10 08:25:26.253601,6.5,3.0,5.2,2.0,2
38272,2023-08-10 08:25:25.236331,6.3,2.8,5.1,1.5,2
38271,2023-08-10 08:25:24.229536,5.0,3.3,1.4,0.2,0
38270,2023-08-10 08:25:23.223879,7.9,3.8,6.4,2.0,2
38269,2023-08-10 08:25:22.218237,5.4,3.0,4.5,1.5,1
38268,2023-08-10 08:25:21.210941,6.4,2.7,5.3,1.9,2
38267,2023-08-10 08:25:20.203013,5.7,3.0,4.2,1.2,1
